Feature,Coefficient
ContinuousAbsenceSinceLastLogin,1.1824197589854502
WorkshopStars,-0.7439770375719955
PHDevelopmentalCoordination,-0.616996820189912
NumFailedWorkshops,0.5468747518323738
NumWorkshopsWithNullPassStatus,-0.5075260147350068
MHPsychiatric,0.4285458305907681
NumOfNewSLActivities,0.4102079718339687
NumPassedWorkshops,-0.4067335197991009
ExcusedWorkshopSessionsCount,-0.3783817983922936
NumOfWorkingSLActivities,-0.37734951644309694
NotRecordedWorkshopSessionsCount,-0.3634731647373946
AgeAtregistration,0.3517743306294503
NotRecordedMasterlabSessionsCount,0.3302215959741408
MHSocialBehavioral,0.31246892614662847
MHLearningSchool,-0.3028160025852812
NumOfPendingSLActivities,-0.27929347977510416
PrioritySchool,-0.2669165890993418
NumWithdrawnWorkshops,0.24583494963368588
PriorityDistrict,0.21717199568134138
Sex,-0.17143292179712574
TotalNumEnrolledWorkshops,-0.1654420728332082
NumMasterlabsWithNullPassStatus,-0.16069047501508782
NumOfAwardedSLActivities,0.1269188269084648
FamilyIncome,-0.1062272300987229
SocioeconomicScore,-0.10612150273425114
NumWithdrawnMasterlabs,0.09182106528714944
PathologyScore,0.0873141372666801
TotalNumEnrolledMasterlabs,-0.08107542346395716
NumOfRejectedSLActivities,-0.0663182800738424
PHDisability,0.06576309523082577
NumPassedMasterlabs,-0.062468593668234755
MHSpeechCommuication,-0.05730797312136242
AttendedMasterlabSessionsCount,-0.05418711816059904
NotAttendedWorkshopSessionsCount,-0.049912677212847055
NumOfAttemptedSLActivities,0.042803381576601275
AttendedWorkshopSessionsCount,0.03993296897063376
MHEmotional,0.03775083134577951
RegularPresent,0.021832741425568635
ExcusedMasterlabSessionsCount,-0.020331154783447006
MHNeurodevelopmental,0.015512446570348512
PHChronicDisease,-0.014023598142686552
MHFamilyEnvironment,-0.0130817885713237
NotAttendedMasterlabSessionsCount,0.009420750120132965
MasterlabStars,-2.6355633956064225e-16
NumFailedMasterlabs,0.0
